Title,Author,AverageRating,RatingsCount,Score
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.97,"12,91,356",957
Gone Girl,Gillian Flynn,4.15,"34,68,317",951
Kissing the Witch: Old Tales in New Skins,Emma Donoghue,3.88,"8,244",949
The Sexual Politics of Meat: A Feminist-Vegetarian Critical Theory,Carol J. Adams,4,"4,542",947
Memoirs of a Dutiful Daughter,Simone de Beauvoir,4.12,"18,607",947
Nervous Conditions,Tsitsi Dangarembga,4.04,"23,262",945
"Tehanu (Earthsea Cycle, #4)",Ursula K. Le Guin,4.06,"59,941",933
Right-Wing Women,Andrea Dworkin,4.32,"2,483",930
Transformations,Anne Sexton,4.11,"7,398",928
The World According to Garp,John Irving,4.11,"2,39,512",924
Far From the Madding Crowd,Thomas Hardy,3.97,"1,67,158",924
The Second Shift,Arlie Russell Hochschild,4.14,"2,464",919
Woman Hating,Andrea Dworkin,3.84,"2,673",916
All About Love: New Visions,bell hooks,4,"1,39,543",900
"Storm and Silence (Storm and Silence, #1)",Robert Thier,4.49,"29,777",900
Sula,Toni Morrison,4.06,"1,25,997",883
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,4.28,"4,52,175",883
Shrill: Notes from a Loud Woman,Lindy West,4.16,"63,570",878
Oryx and Crake,Margaret Atwood,4,"2,88,934",870
Transforming a Rape Culture,Emilie Buchwald,4.36,748,863
The Autobiography of Margaret Sanger,Margaret Sanger,3.84,183,854
This Sex Which is Not One,Luce Irigaray,4.01,"1,871",852
Tipping the Velvet,Sarah Waters,4.06,"78,844",851
Paper Towns,John Green,3.7,"14,97,320",833
"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,4.1,"2,83,828",817
Why I'm No Longer Talking to White People About Race,Reni Eddo-Lodge,4.37,"1,01,195",801
Rose Madder,Stephen  King,3.76,"1,24,569",794
Living Dolls: The Return of Sexism,Natasha Walter,3.83,"2,696",793
"Killing the Black Body: Race, Reproduction, and the Meaning of Liberty",Dorothy Roberts,4.45,"5,266",792
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.07,"21,78,668",791
"Eat, Pray, Love",Elizabeth Gilbert,3.65,"18,48,952",787
Silent Spring,Rachel Carson,4.06,"55,319",783
Feminism Unmodified: Discourses on Life and Law,Catharine A. MacKinnon,3.96,306,780
Asking For It,Louise O'Neill,4,"24,296",761
"The Chalice and the Blade: Our History, Our Future",Riane Eisler,4.18,"4,309",760
The War Against Women,Marilyn French,4.09,548,755
The Portrait of a Lady,Henry James,3.8,"85,461",748
Notorious RBG: The Life and Times of Ruth Bader Ginsburg,Irin Carmon,4.18,"63,759",747
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.12,"10,16,176",745
"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,4.19,"2,69,627",744
"The Testaments (The Handmaid's Tale, #2)",Margaret Atwood,4.2,"4,29,471",742
"Gaudy Night (Lord Peter Wimsey, #12)",Dorothy L. Sayers,4.19,"32,311",736
The Spiral Dance: A Rebirth of the Ancient Religion of the Great Goddess,Starhawk,4.04,"10,608",735
Femininity,Susan Brownmiller,3.86,518,717
The Bust Guide to the New Girl Order,Marcelle Karp,3.82,"1,121",716
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,"1,14,91,253",705
Give Birth Like a Feminist: Your Body. Your Baby. Your Choices.,Milli Hill,3.97,"1,256",700
"Fire (Graceling Realm, #2)",Kristin Cashore,4.09,"1,94,407",696
The Great Cosmic Mother: Rediscovering the Religion of the Earth,Monica Sjöö,4.07,"2,256",695
Refusing to be a Man: Essays on Sex and Justice,John Stoltenberg,4.04,337,694
The Catcher in the Rye,J.D. Salinger,3.8,"39,15,612",691
Circe,Madeline Miller,4.22,"13,69,184",689
Rubyfruit Jungle,Rita Mae Brown,3.91,"47,297",682
Teaching to Transgress: Education as the Practice of Freedom,bell hooks,4.44,"13,043",676
"I, Rigoberta Menchú: An Indian Woman in Guatemala",Rigoberta Menchú,3.86,"6,492",675
BITCHfest: Ten Years of Cultural Criticism from the Pages of Bitch Magazine,Margaret Cho,4.04,"3,335",675
Ash,Malinda Lo,3.63,"37,782",670
Woman: An Intimate Geography,Natalie Angier,4.13,"4,486",669
Living My Life,Emma Goldman,4.27,"2,180",663
The Essential Dykes To Watch Out For,Alison Bechdel,4.45,"13,539",661
Slut!: Growing Up Female with a Bad Reputation,Leora Tanenbaum,3.88,"1,973",660
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet Collected Editions, #1)",Kelly Sue DeConnick,4.02,"24,952",659
"Persepolis: The Story of a Childhood (Persepolis, #1)",Marjane Satrapi,4.27,"2,32,106",658
Compulsory Heterosexuality and Lesbian Existence,Adrienne Rich,4.27,"2,414",657
Know My Name,Chanel Miller,4.68,"2,61,145",657
Mansfield Park,Jane Austen,3.86,"3,81,761",650
The Women of Brewster Place,Gloria Naylor,4.2,"21,798",639
Middlesex,Michael   Robbins,3.91,191,637
The Virgin Suicides,Jeffrey Eugenides,3.78,"4,17,738",635
"Allegiant (Divergent, #3)",Veronica Roth,3.6,"11,46,276",630
The Passion,Jeanette Winterson,4.11,"26,690",627
The Story of Jane: The Legendary Underground Feminist Abortion Service,Laura Kaplan,4.34,"3,562",627
Can't Buy My Love: How Advertising Changes the Way We Think and Feel,Jean Kilbourne,4.05,"1,006",620
Our Blood: Prophecies and Discourses on Sexual Politics,Andrea Dworkin,4.41,629,620
Leftover Women: The Resurgence of Gender Inequality in China,Leta Hong Fincher,3.97,647,618
The Sun and Her Flowers,Rupi Kaur,4.08,"3,80,438",613
Out of Africa,Isak Dinesen,3.91,"48,319",610
Island of the Blue Dolphins,Scott O'Dell,3.88,"3,50,887",608
"Gender Outlaw: On Men, Women and the Rest of Us",Kate Bornstein,4.03,"6,373",606
The Story of My Life,Helen Keller,4.07,"1,51,488",603
"Insurgent (Divergent, #2)",Veronica Roth,3.96,"16,28,966",602
Fräulein M.,Caroline  Woods,3.96,684,600
Gilded Dreams (Newport's Gilded Age #2),Donna Russo Morin,4.23,321,600
One More Moon,Ralph  Webster,4.41,295,600
The Disreputable History of Frankie Landau-Banks,E. Lockhart,3.8,"50,866",595
Midwives,Chris Bohjalian,4,"1,63,514",594
Who Cooked the Last Supper? The Women's History of the World,Rosalind Miles,3.79,"4,619",591
Nine Parts of Desire: The Hidden World of Islamic Women,Geraldine Brooks,4.05,"15,261",591
#SayHerName: Black Women's Stories of State Violence and Public Silence,Kimberlé Crenshaw,4.46,113,591
Hood Feminism: Notes from the Women That a Movement Forgot,Mikki Kendall,4.35,"63,880",590
The Secret Magdalene,Ki Longfellow,4.14,"4,749",588
The Six Wives of Henry VIII,Alison Weir,4.12,"73,127",580
Electra,Sophocles,3.82,"14,368",578
Headscarves and Hymens: Why the Middle East Needs a Sexual Revolution,Mona Eltahawy,4.17,"4,941",578
The Narrative of Sojourner Truth,Sojourner Truth,4.09,"10,677",568
Not Without My Daughter,Betty Mahmoody,4.19,"39,236",568
The Story of an Hour,Kate Chopin,4.06,"27,060",568
Flow Down Like Silver,Ki Longfellow,4.01,"4,510",568
The Power,Naomi Alderman,3.75,"2,53,320",567
The Grace Year,Kim Liggett,4.13,"2,46,980",567
Her Smoke Rose Up Forever,James Tiptree Jr.,4.18,"4,756",566
"Easy (Contours of the Heart, #1)",Tammara Webber,4.07,"2,29,323",564
Sacred Hearts,Sarah Dunant,3.79,"13,494",563
Middlesex,Jeffrey Eugenides,4.04,"6,65,292",559
Only Ever Yours,Louise O'Neill,3.76,"18,283",555
The Cancer Journals,Audre Lorde,4.43,"5,536",553
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.07,"8,71,558",553
Toward a Feminist Theory of the State,Catharine A. MacKinnon,3.98,554,550
Are Prisons Obsolete?,Angela Y. Davis,4.51,"30,492",546
"Rad American Women A-Z: Rebels, Trailblazers, and Visionaries who Shaped Our History . . . and Our Future!",Kate Schatz,4.41,"3,146",546
Dolores Claiborne,Stephen  King,3.95,"1,71,802",545
The Whole Woman,Germaine Greer,3.74,"1,034",545
Nights at the Circus,Angela Carter,3.88,"14,784",543
Conquest: Sexual Violence and American Indian Genocide,Andrea Lee Smith,4.33,"1,368",540
In a Different Voice: Psychological Theory and Women’s Development,Carol Gilligan,4.06,"4,197",539
"Poison Study (Study, #1)",Maria V. Snyder,4.09,"1,76,610",533
"Exile and Pride: Disability, Queerness, and Liberation",Eli Clare,4.37,"2,521",533
Memoirs of an Ex-Prom Queen,Alix Kates Shulman,3.47,"1,765",532
"Anne of the Island (Anne of Green Gables, #3)",L.M. Montgomery,4.28,"1,95,104",531
"Redefining Realness: My Path to Womanhood, Identity, Love & So Much More",Janet Mock,4.3,"16,649",531
Sexing the Body: Gender Politics and the Construction of Sexuality,Anne Fausto-Sterling,4.16,"2,826",530
Villette,Charlotte Brontë,3.78,"81,233",528
Pro: Reclaiming Abortion Rights,Katha Pollitt,4.28,"2,099",525
Sold,Patricia McCormick,4.24,"65,175",525
The Fountainhead,Ayn Rand,3.89,"3,38,203",524
Homophobia: A Weapon of Sexism,Susan G. Raymond,4.18,185,522
Kiss My Tiara: How to Rule the World as a SmartMouth Goddess,Susan Jane Gilman,3.6,"1,716",521
Beyond God the Father: Toward a Philosophy of Women's Liberation,Mary Daly,3.93,876,521
"First Test (Protector of the Small, #1)",Tamora Pierce,4.25,"63,475",519
Letters from a War Zone,Andrea Dworkin,4.38,384,518
"Hello Cruel World: 101 Alternatives to Suicide for Teens, Freaks & Other Outlaws",Kate Bornstein,4,"1,738",515
Promiscuities: The Secret Struggle for Womanhood,Naomi Wolf,3.81,"1,846",513
Ophelia Speaks,Sara Shandler,3.84,"2,501",509
"The Hero and the Crown (Damar, #2)",Robin McKinley,4.21,"55,168",508
The Obstacle Race: The Fortunes of Women Painters and Their Work,Germaine Greer,4.12,154,500
Dawn Among the Stars,Samantha Heuwagen,4.47,102,500
Unwifeable: A Memoir,Mandy Stadtmiller,3.57,"3,295",500
Betty,Tiffany   McDaniel,4.4,"60,342",500
Separate Things: A Memoir,Ashley Marie Berry,4.15,94,500
"A Memory, a Monologue, a Rant, and a Prayer: Writings to Stop Violence Against Women and Girls",V (formerly Eve Ensler),4.18,507,497
"Wild Seed (Patternist, #1)",Octavia E. Butler,4.2,"40,069",497
The Industrial Vagina: The Political Economy of the Global Sex Trade,Sheila Jeffreys,3.96,280,496
2005 - Thanks for the Vodka,Harpie,3.94,289,496
Decoded (The Ex-Files - Unsolved Mysteries Investigations Book 1),Amalia Rose,4.35,31,496
